Resort Name,Region,Year,Season Length,Snowfall (inches)
Mt Abram,East,2023,99,15
Mt Abram,East,2022,100,54
Mt Abram,East,2021,85,14
Mt Abram,East,2019,106,55
Mt Abram,East,2018,112,79
Mt Abram,East,2017,113,69
Mt Abram,East,2016,100,40
Mt Abram,East,2015,111,48
Mt Abram,East,2014,120,87
Sunday River,East,2023,158,117
Sunday River,East,2022,157,99
Sunday River,East,2021,153,80
Sunday River,East,2019,191,154
Sunday River,East,2018,169,125
Sunday River,East,2017,160,196
Sunday River,East,2016,195,57
Sunday River,East,2015,180,153
Sunday River,East,2014,176,111
Sunday River,East,2013,165,108
Lost Valley,East,2023,115,49
Lost Valley,East,2022,100,57
Lost Valley,East,2021,94,26
Lost Valley,East,2019,110,60
Lost Valley,East,2018,106,72
Lost Valley,East,2017,107,71
Lost Valley,East,2016,72,14
Lost Valley,East,2015,71,35
Lost Valley,East,2014,92,29
Lost Valley,East,2013,84,37
Cranmore,East,2023,130,117
Cranmore,East,2022,116,91
Cranmore,East,2021,113,48
Cranmore,East,2020,123,73
Cranmore,East,2019,141,67
Cranmore,East,2018,129,120
Cranmore,East,2017,121,141
Cranmore,East,2016,116,29
Cranmore,East,2015,133,84
Cranmore,East,2014,133,93
Cranmore,East,2013,128,88
Bretton Woods,East,2023,144,120
Bretton Woods,East,2022,135,111
Bretton Woods,East,2021,138,108
Bretton Woods,East,2019,150,213
Bretton Woods,East,2018,158,208
Bretton Woods,East,2017,155,185
Bretton Woods,East,2016,137,89
Bretton Woods,East,2015,161,199
Bretton Woods,East,2014,163,149
Bretton Woods,East,2013,150,172
Cannon,East,2023,135,122
Cannon,East,2022,129,91
Cannon,East,2021,121,109
Cannon,East,2019,143,161
Cannon,East,2018,143,174
Cannon,East,2017,142,245
Cannon,East,2016,129,90
Cannon,East,2015,141,190
Cannon,East,2014,142,152
Cannon,East,2013,134,181
Black Mountain,East,2023,90,80
Black Mountain,East,2022,76,65
Black Mountain,East,2021,91,53
Black Mountain,East,2019,139,85
Black Mountain,East,2018,125,56
Black Mountain,East,2017,126,92
Black Mountain,East,2016,69,45
